instante;testa_pequena_r;testa_pequena_g;testa_pequena_b;testa_pequena_px;testa_grande_r;testa_grande_g;testa_grande_b;testa_grande_px;bochechas_r;bochechas_g;bochechas_b;bochechas_px;conjunto_pequeno_r;conjunto_pequeno_g;conjunto_pequeno_b;conjunto_pequeno_px;conjunto_grande_r;conjunto_grande_g;conjunto_grande_b;conjunto_grande_px;fundo_r;fundo_g;fundo_b;caixa_x;caixa_y;caixa_l;caixa_a
16.56624;222.7021;194.4260;190.2785;2474;222.8140;196.9788;192.4762;4817;220.8586;195.2207;189.9954;6025;221.1228;194.2147;189.4029;6964;221.0233;194.8964;190.0341;12424;214.9278;216.6455;223.1199;193;32;243;243
16.58933;222.7897;194.4679;191.3954;2496;223.2735;197.5561;193.8288;4866;219.2838;192.6592;187.6710;6192;219.9926;192.7944;188.4728;7125;220.3036;193.6370;189.2281;12681;214.8328;217.2204;223.4672;191;32;244;244
16.63368;222.7897;194.4679;191.3954;2496;223.2735;197.5561;193.8288;4866;219.2838;192.6592;187.6710;6192;219.9926;192.7944;188.4728;7125;220.3036;193.6370;189.2281;12681;214.8328;217.2204;223.4672;191;32;244;244
16.65401;223.3128;196.6376;192.7123;2503;223.8411;199.6392;195.2460;4878;219.4139;192.9299;187.4965;6052;220.5574;193.7634;188.8885;6995;220.7182;194.7823;189.8255;12573;214.8918;216.0842;222.5488;189;32;244;244
16.69711;223.3128;196.6376;192.7123;2503;223.8411;199.6392;195.2460;4878;219.4139;192.9299;187.4965;6052;220.5574;193.7634;188.8885;6995;220.7182;194.7823;189.8255;12573;214.8918;216.0842;222.5488;189;32;244;244
16.71823;222.2680;193.1609;189.7890;2474;222.4448;195.9420;191.9013;4863;220.4424;194.4054;189.3011;6051;220.9534;193.5698;189.0520;6925;220.6370;194.0145;189.4552;12593;214.7032;216.2488;222.8714;188;32;245;245
16.76848;223.7965;196.6694;193.9358;2462;224.1413;199.7088;196.2702;4804;218.7154;190.8229;186.1915;6114;220.3755;192.5273;188.5896;6913;220.1641;193.1563;189.0764;12624;214.5669;215.6812;222.4027;188;32;245;245
16.78790;223.8997;196.8111;194.0345;2493;223.8299;198.9860;195.6987;4796;218.4887;190.3257;185.7246;6125;220.5321;192.7647;188.7925;6905;220.0223;192.8669;188.8342;12499;214.5669;215.6812;222.4027;187;32;246;246
16.82937;221.9293;192.7712;188.7270;2531;221.4096;194.4779;190.3827;4892;220.3073;193.9143;188.4143;6059;221.0194;193.6278;188.6968;6896;220.4201;193.5172;188.6743;12499;214.7156;215.9665;222.7258;187;32;246;246
16.85039;221.9293;192.7712;188.7270;2531;221.4096;194.4779;190.3827;4892;220.3073;193.9143;188.4143;6059;221.0194;193.6278;188.6968;6896;220.4201;193.5172;188.6743;12499;214.7156;215.9665;222.7258;187;32;246;246
16.89349;222.5193;193.5473;190.6883;2538;222.1228;195.7141;192.3878;4837;218.8833;190.7007;185.3818;6040;220.3716;191.8857;187.4048;6875;219.7147;191.9499;187.6368;12453;214.1599;215.4602;222.1893;187;32;246;246
16.91584;221.7605;192.0874;189.6295;2564;221.9488;195.5692;192.2831;4821;219.0060;190.8534;185.5189;6001;220.1122;191.4116;187.0902;6818;219.7574;191.9838;187.6444;12354;214.1599;215.4602;222.1893;186;32;247;247
16.95487;222.5277;194.1446;191.4426;2524;222.4450;196.9172;193.3508;4854;218.7008;191.1421;186.3338;6144;220.0894;192.1467;188.0967;6878;219.6658;192.4723;188.2148;12472;214.6174;215.8438;222.5560;186;32;247;247
16.97558;223.0259;195.5545;192.4043;2550;222.7134;197.5548;193.8601;4881;218.8250;191.2326;186.3955;6194;220.5245;192.9059;188.6307;6989;219.9345;192.9956;188.6727;12637;214.6174;215.8438;222.5560;186;31;246;246
17.01290;221.7561;192.2300;189.6275;2526;221.6460;194.8194;191.6209;4907;220.0013;193.1461;187.9886;6146;221.0226;192.9005;188.6523;6873;220.1950;193.0208;188.7494;12664;214.1431;215.7170;222.6565;186;31;246;246
